categoria,sottocategoria,domanda,risposta,tag,priorita
Prodotti,Tablet,Quali tablet sono disponibili?,Il catalogo tablet comprende: iPad (base) a 379€ - iPad Air M2 a 699€ - iPad Pro M4 11" a 1.099€ e 13" a 1.399€ - Samsung Galaxy Tab S9 a 799€ - Samsung Galaxy Tab S9 Ultra a 1.199€ - Lenovo Tab P12 Pro a 649€.,tablet;ipad;samsung;catalogo,alta
Prodotti,Audio,Quali cuffie wireless vendete?,Per le cuffie wireless over-ear top di gamma: Sony WH-1000XM5 a 349€ - Bose QuietComfort 45 a 279€ - Apple AirPods Max a 549€ - Jabra Evolve2 85 a 449€. Per cuffie in-ear: Apple AirPods Pro 2 a 249€ - Sony WF-1000XM5 a 279€ - Samsung Galaxy Buds2 Pro a 189€.,cuffie;audio;wireless;airpods,alta
Prodotti,Audio,Vendete speaker bluetooth?,Sì. Tra i più venduti: JBL Charge 5 a 179€ - Bose SoundLink Max a 349€ - Marshall Stanmore III a 399€ - Sony SRS-XB100 a 69€ - Ultimate Ears Hyperboom a 449€ - Bang & Olufsen Beosound A1 a 279€.,speaker;bluetooth;audio;jbl,media
Prodotti,Accessori,Quali caricatori vendono?,Offriamo caricatori di tutti i tipi: Apple MagSafe 15W a 45€ - Caricatori USB-C GaN 65W da 39€ - 100W da 59€ - Caricatori wireless Qi2 da 29€ - Powerbank Anker serie 633 da 49€ - Base di ricarica multipla da 69€.,caricatori;accessori;magsafe;usb-c,media
Prodotti,Accessori,Avete cover per smartphone?,Sì. Offriamo cover per tutti i modelli in catalogo: cover in silicone liquido da 19€ - cover in pelle premium da 39€ - cover con MagSafe compatibile da 29€ - cover antiurto rinforzata da 25€ - cover trasparente da 12€. Personalizzazione con incisione laser disponibile per +5€.,cover;accessori;smartphone;personalizzazione,media
Prodotti,Smart Home,Vendete prodotti smart home?,Sì. La sezione Smart Home include: Google Nest Hub 2a gen a 99€ - Amazon Echo Dot 5a gen a 59€ - Apple HomePod Mini a 109€ - Philips Hue Starter Kit a 89€ - Ring Video Doorbell 4 a 149€ - Nest Thermostat a 129€ - TP-Link Tapo Smart Plug a 14€.,smart home;google nest;amazon echo;philips hue,media
Prodotti,Fotografia,Vendete fotocamere?,Sì. Il catalogo include: Sony Alpha 7 IV a 2.699€ - Fujifilm X100VI a 1.699€ - Nikon Z5 II a 1.799€ - Canon EOS R8 a 1.499€ - GoPro Hero 12 a 349€ - DJI Osmo Action 4 a 299€. Disponibili anche obiettivi e accessori.,fotocamere;sony;fujifilm;fotografia,media
Ordini,Effettuare un Ordine,Come posso effettuare un ordine?,Puoi ordinare in 3 modi: 1) Online su www.nexatech.it - registrati o acquista come ospite - aggiungi al carrello - scegli spedizione e pagamento. 2) Telefono al 02 8945 6700 (lun-ven 9-18). 3) In uno dei nostri 8 negozi fisici.,ordine;acquisto;come ordinare,alta
Ordini,Effettuare un Ordine,Posso ordinare senza registrarmi?,Sì. È possibile acquistare come ospite inserendo solo email e dati di spedizione. Ti consigliamo però di registrarti per monitorare gli ordini - accumulare punti NexaClub - salvare indirizzi e metodi di pagamento.,registrazione;account;ospite,media
Ordini,Effettuare un Ordine,Posso modificare un ordine già effettuato?,Un ordine può essere modificato solo entro 30 minuti dal suo inserimento e se non è ancora stato preso in carico dal magazzino. Contatta subito il supporto al 02 8945 6700 o via chat. Dopo la presa in carico non è più possibile modificarlo.,modifica ordine;cancellazione;urgente,alta
Ordini,Effettuare un Ordine,Posso annullare un ordine?,Puoi annullare l'ordine entro 1 ora dall'acquisto se non è ancora in lavorazione. Dopo la spedizione non è possibile annullarlo ma puoi avviare il reso alla ricezione del pacco. Contattaci al più presto al 02 8945 6700.,cancellazione;annullamento;ordine,alta
Ordini,Tracking,Come traccio il mio ordine?,Dopo la spedizione ricevi una email con il numero di tracking. Puoi seguire il pacco su: il sito del corriere (GLS - BRT o DHL a seconda del metodo scelto) - nella tua area personale su nexatech.it nella sezione "I miei ordini" - tramite il link nell'email di conferma spedizione.,tracking;spedizione;corriere,alta
Ordini,Tracking,In quanto tempo arriva il mio ordine?,Spedizione Standard (gratuita sopra 49€): 3-5 giorni lavorativi. Spedizione Express (5.99€): 1-2 giorni lavorativi. Spedizione Same Day (9.99€ - disponibile solo a Milano): entro le 23:59 se ordinato entro le 14:00. I tempi non includono il sabato e la domenica.,tempi consegna;spedizione;express,alta
Ordini,Tracking,Il mio ordine è in ritardo. Cosa faccio?,Se l'ordine supera i tempi previsti contattaci con il tuo numero d'ordine. Verifichiamo lo stato presso il corriere entro 24 ore e ti aggiorniamo. In caso di smarrimento avviamo procedura di rimborso o rispedizione entro 5 giorni lavorativi.,ritardo;smarrimento;rimborso,alta
Ordini,Tracking,Cosa significa "ordine in attesa di disponibilità"?,Significa che uno o più prodotti del tuo ordine sono temporaneamente non disponibili in magazzino. Ti invieremo una email appena il prodotto è disponibile. Puoi anche scegliere di ricevere i prodotti disponibili subito e attendere gli altri o ottenere il rimborso.,disponibilità;magazzino;attesa,media
Pagamenti,Metodi di Pagamento,Quali metodi di pagamento accettate?,Accettiamo: Carte di credito/debito (Visa - Mastercard - American Express) - PayPal - Klarna (3 rate senza interessi) - Scalapay (3 rate) - Bonifico bancario (solo per ordini superiori a 500€ - spedizione dopo accredito) - Contrassegno (+3€) - Apple Pay e Google Pay.,pagamento;carta;paypal;klarna,alta
Pagamenti,Metodi di Pagamento,Klarna è disponibile per tutti gli ordini?,Klarna in 3 rate senza interessi è disponibile per ordini tra 35€ e 1.500€. Per ordini superiori è disponibile Klarna Financing con piani da 6 a 36 mesi con tasso di interesse variabile. Soggetto ad approvazione creditizia.,klarna;rate;finanziamento;pagamento,media
Pagamenti,Metodi di Pagamento,Come funziona il pagamento con Scalapay?,Scalapay divide il totale in 3 rate uguali. La prima viene addebitata al momento dell'acquisto le altre due ogni 2 settimane. Disponibile per ordini tra 5€ e 2.000€. Nessun interesse se le rate vengono pagate in tempo.,scalapay;rate;pagamento,media
Pagamenti,Fatturazione,Posso richiedere la fattura elettronica?,Sì. Durante il checkout seleziona "Acquisto aziendale" e inserisci Ragione Sociale - P.IVA - Codice SDI o PEC. La fattura elettronica viene emessa e inviata al tuo SDI entro 24 ore dall'ordine.,fattura;p.iva;azienda;sdi,alta
Pagamenti,Fatturazione,Ho diritto a sconti per acquisti aziendali?,Le aziende con partita IVA che effettuano acquisti ricorrenti possono accedere al programma NexaBusiness con sconti dal 5% al 15% a seconda del volume annuo. Contattare il team commerciale a business@nexatech.it.,business;aziendale;sconti;partita iva,media
Pagamenti,Sicurezza,I miei dati di pagamento sono sicuri?,Sì. NexaTech utilizza protocollo SSL/TLS per la crittografia dei dati. Non conserviamo i dati della carta sul nostro server - tutto viene gestito da Stripe (certificato PCI DSS Level 1). Inoltre è disponibile l'autenticazione 3D Secure.,sicurezza;pagamento;ssl;pci dss,media
Spedizioni,Costi e Tempi,Qual è il costo di spedizione?,Spedizione Standard: gratuita per ordini sopra 49€ - 3.99€ sotto i 49€ (3-5 giorni lavorativi). Spedizione Express: 5.99€ (1-2 giorni lavorativi). Same Day Milano: 9.99€ (solo Milano - ordini entro le 14:00). Ritiro in negozio: gratuito.,spedizione;costi;standard;express,alta
Spedizioni,Costi e Tempi,Fate spedizioni all'estero?,Sì. Spediamo in tutta Europa. Costi indicativi: Europa Zona 1 (Francia - Germania - Spagna - Austria - Svizzera): 12.99€ - 5-8 giorni. Europa Zona 2 (altri paesi UE): 16.99€ - 7-12 giorni. Non spediamo extra-UE. Dazi e tasse locali a carico del destinatario.,estero;europa;internazionale;spedizione,media
Spedizioni,Corrieri,Quali corrieri utilizzate?,Utilizziamo: GLS per spedizioni standard in Italia - BRT (Bartolini) per spedizioni express - DHL Express per spedizioni internazionali - Amazon Logistics per alcune zone. Il corriere viene selezionato automaticamente in base all'indirizzo e al metodo di spedizione scelto.,gls;brt;dhl;corrieri,media
Spedizioni,Consegna,Cosa succede se non sono a casa alla consegna?,Il corriere effettua un secondo tentativo il giorno lavorativo successivo. Se anche questo fallisce il pacco viene depositato al punto di ritiro più vicino per 5 giorni lavorativi. Riceverai un avviso via SMS e email con l'indirizzo del punto di ritiro.,consegna;assente;punto ritiro,alta
Spedizioni,Consegna,Posso scegliere il giorno di consegna?,Per le spedizioni Express è possibile scegliere il giorno di consegna preferito tra quelli disponibili direttamente sulla pagina di tracking del corriere. Per le spedizioni Standard non è possibile scegliere il giorno.,consegna;giorno;orario;express,media
Resi e Rimborsi,Politica Resi,Qual è la politica di reso?,Accettiamo resi entro 30 giorni dalla consegna per qualsiasi motivo (diritto di recesso esteso - la legge prevede 14 giorni). Il prodotto deve essere nelle condizioni originali con imballo completo e accessori inclusi. Alcuni prodotti sono esclusi (software - contenuti digitali - prodotti personalizzati).,reso;rimborso;30 giorni;recesso,alta
Resi e Rimborsi,Procedura Reso,Come avvio un reso?,Per avviare un reso: 1) Accedi all'area personale su nexatech.it - sezione "I miei ordini". 2) Seleziona il prodotto da rendere e il motivo. 3) Stampa l'etichetta prepagata ricevuta via email. 4) Consegna il pacco al punto GLS più vicino entro 7 giorni.,reso;procedura;etichetta;come fare,alta
Resi e Rimborsi,Procedura Reso,Il reso è gratuito?,Il reso è gratuito se il prodotto è difettoso o non conforme. Per recesso (cambio idea) il costo di spedizione del reso è a carico del cliente: 5.99€ per prodotti fino a 5kg - 9.99€ per prodotti oltre 5kg. I clienti Platinum NexaClub hanno il reso gratuito.,reso;costi;gratuito;spedizione reso,alta
Resi e Rimborsi,Rimborsi,In quanto tempo ricevo il rimborso?,Il rimborso viene elaborato entro 3-5 giorni lavorativi dalla ricezione del reso in magazzino. I tempi di accredito dipendono dal metodo di pagamento: carta di credito/debito 5-10 giorni lavorativi - PayPal entro 24 ore - Klarna/Scalapay 3-5 giorni lavorativi.,rimborso;tempi;pagamento;accredito,alta
Resi e Rimborsi,Rimborsi,Posso ricevere un buono invece del rimborso?,Sì. Puoi scegliere di ricevere un buono sconto NexaTech del valore del reso con un bonus extra del 5%. Ad esempio per un reso da 100€ ricevi un buono da 105€ invece del rimborso in denaro. Il buono è valido 12 mesi.,buono;voucher;rimborso alternativo,media
Resi e Rimborsi,Prodotti Difettosi,Ho ricevuto un prodotto difettoso. Cosa faccio?,Contattaci entro 48 ore dalla consegna con foto/video del difetto a supporto@nexatech.it. Provvederemo a: sostituzione immediata con spedizione prioritaria - oppure rimborso completo. Le spese di spedizione sono completamente a nostro carico.,difettoso;rotto;sostituzione;rimborso,alta
Resi e Rimborsi,Prodotti Difettosi,Ho ricevuto il prodotto sbagliato.,Se hai ricevuto un prodotto diverso da quello ordinato contattaci entro 48 ore con foto del prodotto ricevuto e dell'imballo a supporto@nexatech.it. Invieremo il prodotto corretto con spedizione express prioritaria senza costi aggiuntivi.,prodotto sbagliato;errore;sostituzione,alta
Garanzia,Garanzia Legale,Quanto dura la garanzia legale?,In Italia la garanzia legale del venditore è di 24 mesi per i consumatori privati. NexaTech offre supporto diretto per i difetti di conformità che si manifestano entro 24 mesi dall'acquisto senza costi per il cliente.,garanzia;24 mesi;legale;difetto,alta
Garanzia,Garanzia Produttore,Come funziona la garanzia del produttore?,Ogni prodotto viene venduto con la garanzia ufficiale del produttore (esempio: Apple Care 1 anno - Samsung 24 mesi - Sony 24 mesi). NexaTech può fare da intermediario per l'assistenza in garanzia oppure puoi rivolgerti direttamente ai centri assistenza autorizzati del brand.,garanzia produttore;apple;samsung;assistenza,alta
Garanzia,Garanzia Estesa,Offrite garanzie estese?,Sì. NexaProtect è la nostra garanzia estesa disponibile al momento dell'acquisto: NexaProtect 1 anno (da 39€) - NexaProtect 2 anni (da 69€) - NexaProtect 3 anni (da 99€). Copre difetti hardware e per alcuni piani anche danni accidentali. Acquistabile entro 30 giorni dall'acquisto del prodotto.,nexaprotect;garanzia estesa;assicurazione,alta
Garanzia,Assistenza,Come richiedo assistenza in garanzia?,Per assistenza in garanzia: 1) Contatta il supporto via email con numero ordine e descrizione del problema. 2) Il tecnico ti guida per diagnosi remota. 3) Se necessaria riparazione ritiriamo il prodotto con corriere gratuito. 4) Riparazione o sostituzione entro 10 giorni lavorativi.,assistenza;garanzia;riparazione;tecnico,alta
Garanzia,Assistenza,Avete un servizio di riparazione?,Sì. NexaRepair è il servizio di riparazione disponibile per prodotti fuori garanzia. Il preventivo è gratuito: portare il dispositivo in uno dei nostri negozi o spedirlo con l'apposito modulo sul sito. Tempi medi di riparazione: 3-7 giorni lavorativi. Garanzia 6 mesi sulla riparazione.,riparazione;nexarepair;assistenza tecnica,media
Account,Registrazione,Come mi registro?,Vai su nexatech.it - clicca su "Accedi/Registrati" in alto a destra - seleziona "Crea account". Inserisci nome - cognome - email e password. Ricevi email di conferma e clicca il link di attivazione. La registrazione è gratuita e attiva automaticamente il tuo profilo NexaClub Silver.,registrazione;account;crea account,media
Account,Password,Ho dimenticato la password.,Vai su nexatech.it e clicca su "Accedi". Seleziona "Password dimenticata?". Inserisci la tua email e riceverai un link per reimpostare la password entro pochi minuti. Il link è valido per 24 ore. Controlla anche la cartella spam.,password;accesso;reset;dimenticata,alta
Account,Privacy,Come elimino il mio account?,Per eliminare l'account invia una richiesta a privacy@nexatech.it indicando email e numero cliente. L'eliminazione avviene entro 30 giorni nel rispetto del GDPR. Nota: l'eliminazione è irreversibile e comporta la perdita di punti NexaClub e cronologia ordini.,eliminazione account;gdpr;privacy,media
Account,Privacy,Come esercito i miei diritti GDPR?,Puoi esercitare i diritti di accesso - rettifica - cancellazione - portabilità e opposizione inviando richiesta a privacy@nexatech.it. Il Responsabile della Protezione dei Dati (DPO) è raggiungibile a dpo@nexatech.it. Risponderemo entro 30 giorni.,gdpr;privacy;dati personali;diritti,media
Promozioni,Sconti,Come posso sapere delle promozioni in corso?,Le promozioni sono visibili: nella sezione "Offerte" del sito - tramite newsletter (iscriviti in fondo al sito) - sui nostri social Instagram e Facebook - tramite l'app NexaTech (disponibile su App Store e Google Play).,promozioni;offerte;sconti;newsletter,media
Promozioni,Codici Sconto,Ho un codice sconto. Come lo utilizzo?,Nel carrello trovi il campo "Codice promozionale" prima del riepilogo del pagamento. Inserisci il codice e clicca "Applica". Lo sconto viene applicato immediatamente. Non è possibile combinare più codici sconto sullo stesso ordine.,codice sconto;coupon;promo code,alta
Promozioni,Codici Sconto,Il mio codice sconto non funziona.,Verifica che: il codice non sia scaduto - rispetti le condizioni (importo minimo - prodotti inclusi) - sia scritto correttamente senza spazi - non sia già stato utilizzato (monouso). Se il problema persiste contattaci a supporto@nexatech.it allegando uno screenshot dell'errore.,codice sconto;errore;problema,alta
Promozioni,Black Friday,Fate sconti per il Black Friday?,Sì. NexaTech partecipa ogni anno al Black Friday con sconti fino al 40% su migliaia di prodotti. Le offerte iniziano il giovedì precedente (NexaThursday) e durano fino al Cyber Monday. I clienti Platinum NexaClub hanno accesso anticipato alle offerte dalle 8:00 del mercoledì.,black friday;cyber monday;sconti,media
Promozioni,Black Friday,Posso prenotare un prodotto prima delle offerte Black Friday?,Sì. Il servizio "NexaAlert" permette di attivare una notifica per un prodotto specifico. Quando il prodotto va in offerta ricevi un'email o notifica push. Non garantisce la disponibilità ma ti avvisa immediatamente.,prenotazione;notifica;black friday;alert,media
App e Sito,App Mobile,C'è un'app NexaTech?,Sì. L'app NexaTech è disponibile su App Store (iOS 15 o superiore) e Google Play (Android 8 o superiore). Permette di: sfogliare il catalogo - gestire ordini - accedere al NexaClub - ricevere offerte personalizzate - usare la funzione di scansione barcode per confrontare prezzi in negozio.,app;mobile;ios;android,media
App e Sito,Sito Web,Perché non riesco ad accedere al sito?,Se hai problemi ad accedere a nexatech.it prova: svuotare la cache del browser - provare con un browser diverso - disabilitare estensioni o VPN - verificare lo stato del sito su status.nexatech.it. Se il problema persiste contattaci indicando browser e sistema operativo.,sito web;accesso;problemi tecnici,media
App e Sito,Sito Web,Il sito è sicuro per i pagamenti?,Sì. Il sito utilizza certificato SSL/TLS con crittografia a 256 bit (HTTPS). Cerchia verde o lucchetto nella barra del browser indicano connessione sicura. PCI DSS compliant per i pagamenti con carta.,sicurezza;https;ssl;pagamento sicuro,media
Prodotti,Disponibilità,Come posso sapere se un prodotto è disponibile?,La disponibilità è indicata in tempo reale sulla scheda prodotto: "Disponibile" (in magazzino) - "Disponibile in 2-5 giorni" (in arrivo) - "Esaurito" (non disponibile - possibile pre-ordine). Puoi attivare notifica di disponibilità per i prodotti esauriti.,disponibilità;stock;magazzino,alta
Prodotti,Disponibilità,Posso effettuare un pre-ordine?,Sì. Per i prodotti in arrivo o non ancora disponibili puoi effettuare un pre-ordine. L'importo viene addebitato solo alla spedizione. I pre-ordini hanno priorità di spedizione. Puoi annullare il pre-ordine in qualsiasi momento prima della spedizione.,preordine;pre-order;disponibilità,media
Prodotti,Confronto,Come posso confrontare più prodotti?,Sul sito è disponibile la funzione "Confronta": dalla lista prodotti clicca "Aggiungi al confronto" su massimo 4 prodotti. Poi clicca "Confronta" in basso per vedere una tabella comparativa con tutte le specifiche tecniche affiancate.,confronto;comparazione;prodotti,media
Prodotti,Schede Tecniche,Dove trovo le specifiche tecniche di un prodotto?,Le specifiche tecniche complete sono nella scheda prodotto nella sezione "Specifiche" o "Scheda tecnica". Puoi anche scaricare il PDF del manuale utente dalla sezione "Download" della stessa pagina. Per prodotti Apple le specifiche complete sono su apple.com.,specifiche;scheda tecnica;manuale,media
Prodotti,Recensioni,Le recensioni sono verificate?,Sì. NexaTech pubblica solo recensioni di clienti che hanno acquistato e ricevuto il prodotto. Le recensioni vengono moderate per rilevare contenuti inappropriati ma non vengono filtrate per valutazione. La valutazione media è calcolata su tutte le recensioni.,recensioni;opinioni;verificate;feedback,bassa
Assistenza Tecnica,Supporto,Offrite supporto tecnico post-vendita?,Sì. Il supporto tecnico base è incluso per tutti i clienti: email a supporto@nexatech.it - chat live sul sito. Il supporto telefonico dedicato è riservato ai clienti Gold e Platinum NexaClub e a chi ha acquistato NexaProtect.,supporto tecnico;assistenza;post-vendita,alta
Assistenza Tecnica,Configurazione,Offrite servizi di configurazione?,Sì. Il servizio NexaSetup include: configurazione di smartphone (migrazione dati inclusa) da 29€ - setup laptop (installazione software e aggiornamenti) da 39€ - installazione smart home da 49€. Disponibile nei negozi fisici o con tecnico a domicilio (Milano - Roma - Torino).,configurazione;setup;nexasetup;installazione,media
Assistenza Tecnica,Problemi Comuni,Come ripristino il mio smartphone?,Per ripristino alle impostazioni di fabbrica: iPhone (Impostazioni > Generali > Trasferisci o Ripristina iPhone > Cancella contenuto e impostazioni) - Android Samsung (Impostazioni > Gestione generale > Ripristina > Ripristino dati di fabbrica). Ricordati di fare un backup prima del ripristino.,ripristino;reset;smartphone;backup,media
Assistenza Tecnica,Problemi Comuni,Il laptop non si accende. Cosa faccio?,Prova: 1) Collega il caricatore e attendi 10 minuti. 2) Tieni premuto il pulsante di accensione per 10 secondi. 3) Per MacBook tieni premuto Command+Control+Power. Se non si risolve contattaci - potrebbe essere necessaria assistenza in garanzia.,laptop;non si accende;problema;assistenza,alta
Ordini,Ordini Aziendali,Fate ordini all'ingrosso per aziende?,Sì. Il team NexaBusiness gestisce ordini aziendali con: sconti volume personalizzati - fatturazione centralizzata - consegna programmata - assistenza dedicata - possibilità di personalizzazione dispositivi (incisione logo aziendale). Contattare business@nexatech.it.,ingrosso;aziendale;b2b;nexabusiness,media
Ordini,Ordini Aziendali,Qual è l'ordine minimo per sconti aziendali?,Gli sconti aziendali si applicano da 5 unità dello stesso prodotto (5% sconto) con progressione: 10-19 unità 8% - 20-49 unità 12% - 50+ unità 15-20% (negoziabile). Per accordi quadro annuali condizioni personalizzate.,sconti aziendali;volume;b2b,media
Prodotti,Garanzia Apple,Come funziona la garanzia Apple su prodotti acquistati da NexaTech?,I prodotti Apple acquistati da NexaTech sono prodotti originali italiani con garanzia Apple Italia di 12 mesi. Puoi estendere con AppleCare+ direttamente da Apple entro 60 giorni dall'acquisto. NexaTech è rivenditore Apple Authorized Reseller.,apple;garanzia apple;authorized reseller,alta
Prodotti,Garanzia Samsung,Come funziona la garanzia Samsung?,I prodotti Samsung hanno garanzia ufficiale Samsung Italia di 24 mesi. In caso di guasto puoi portare il dispositivo in un Samsung Service Center (lista su samsung.com/it) oppure contattare NexaTech che fa da intermediario nella gestione della pratica.,samsung;garanzia;assistenza,alta
Spedizioni,Imballo,Come vengono imballati i prodotti?,Tutti i prodotti vengono imballati con materiale protettivo adeguato. Per prodotti fragili usiamo polistirolo e doppio imballo. Packaging eco-friendly certificato FSC per il 90% dei materiali. I prodotti tecnologici vengono avvolti in bolla d'aria e imbustati individualmente.,imballo;packaging;eco;spedizione,bassa
Spedizioni,Tracking,Non ho ricevuto l'email di tracking.,Controlla la cartella spam o posta indesiderata. L'email di tracking viene inviata dal corriere (non da NexaTech) entro 24 ore dalla spedizione. In alternativa accedi alla tua area personale su nexatech.it nella sezione "I miei ordini" per trovare il tracking.,tracking;email;spam;spedizione,media
Resi e Rimborsi,Reso Internazionale,Come funziona il reso per ordini esteri?,Per ordini spediti in Europa: avvia il reso dall'area personale - ricevi etichetta prepagata entro 24h - consegna al corriere locale convenzionato. I costi di reso per recesso dall'estero variano da 9.99€ a 19.99€ in base al paese.,reso;estero;internazionale;europa,media
Promozioni,Newsletter,Come mi iscrivo alla newsletter?,Vai in fondo a qualsiasi pagina di nexatech.it e inserisci la tua email nel campo "Iscriviti alle offerte". Ricevi subito un codice sconto del 10% sul primo acquisto. Puoi disiscriverti in qualsiasi momento cliccando il link in fondo a ogni email.,newsletter;iscrizione;email marketing;sconto,media
Promozioni,Referral,Esiste un programma referral?,Sì. Con NexaRefer puoi invitare amici: condividi il tuo codice personale (trovalo nell'area personale). Quando l'amico effettua il primo acquisto sopra 50€ lui riceve 10€ di sconto e tu ricevi 10€ in punti NexaClub. Non ci sono limiti al numero di inviti.,referral;invita amici;nexarefer;sconto,bassa
Account,Ordini,Dove vedo la cronologia dei miei ordini?,Accedi al tuo account su nexatech.it e vai nella sezione "Il mio account" > "I miei ordini". Trovi tutti gli ordini con: data - stato - totale - prodotti - tracking. Puoi anche scaricare la fattura o avviare un reso da questa sezione.,cronologia ordini;storico;account,media
Prodotti,Bundle,Offrite bundle o kit?,Sì. Nella sezione "Bundle" trovi combinazioni preconfezionate con sconti fino al 20%: Starter Kit iPhone (iPhone + cover + caricatore GaN) - Gaming Bundle (laptop + cuffie gaming + mouse) - Smart Home Starter Pack e altri. Puoi anche creare bundle personalizzati aggiungendo prodotti compatibili al carrello.,bundle;kit;combinazione;sconto,media
Prodotti,Trade-In,Posso portare il mio vecchio dispositivo?,Sì. Il programma NexaTrade-In permette di portare il tuo vecchio smartphone o laptop e ricevere un buono sconto per l'acquisto del nuovo. La valutazione avviene: online tramite il tool sul sito (valutazione istantanea) o in negozio. Il buono è valido 30 giorni.,trade-in;usato;valutazione;scambio,media
